participant_id	age	sex	route_group
sub-Exp1s01	20	M	1
sub-Exp1s02	19	F	2
sub-Exp1s03	19	F	1
sub-Exp1s04	24	F	2
sub-Exp1s05	31	F	1
sub-Exp1s06	23	M	2
sub-Exp1s07	25	F	1
sub-Exp1s08	18	F	1
sub-Exp1s09	19	M	2
sub-Exp1s10	26	M	1
sub-Exp1s11	19	F	2
sub-Exp1s12	27	F	1
sub-Exp1s13	23	F	2
sub-Exp1s14	19	F	1
sub-Exp1s15	19	M	2
sub-Exp1s16	21	M	1
sub-Exp1s17	21	F	2
sub-Exp1s18	23	F	1
sub-Exp1s19	26	F	2
sub-Exp1s20	21	M	1
sub-Exp2s01	25	M	4
sub-Exp2s02	20	F	3
sub-Exp2s03	23	F	4
sub-Exp2s04	20	M	3
sub-Exp2s05	21	M	3
sub-Exp2s06	20	F	4
sub-Exp2s07	20	F	3
sub-Exp2s08	31	M	4
sub-Exp2s09	23	F	3
sub-Exp2s10	26	M	4
sub-Exp2s11	27	M	3
sub-Exp2s12	27	M	4
sub-Exp2s13	19	F	3
sub-Exp2s14	24	M	4
sub-Exp2s15	20	F	3
sub-Exp2s16	24	F	4
sub-Exp2s17	24	M	3
sub-Exp2s18	28	F	4
sub-Exp2s19	25	M	4
sub-Exp2s20	18	M	4
sub-Exp2s21	25	F	4
