participant_id	Group
sub-401	Musician
sub-402	Musician
sub-403	Musician
sub-404	NonMusician
sub-405	Musician
sub-406	Musician
sub-407	Musician
sub-408	NonMusician
sub-409	NonMusician
sub-410	NonMusician
sub-411	Musician
sub-412	NonMusician
sub-413	Musician
sub-414	Musician
sub-415	Musician
sub-416	Musician
sub-417	NonMusician
sub-418	Musician
sub-419	Musician
sub-420	Musician
sub-421	NonMusician
sub-422	Musician
sub-423	NonMusician
sub-424	NonMusician
sub-425	NonMusician
sub-426	Musician
sub-427	Musician
sub-428	NonMusician
sub-429	NonMusician
sub-430	NonMusician
sub-432	NonMusician
sub-433	NonMusician
sub-434	NonMusician
