participant_id	age	sex
sub-bb914	18	f
sub-bd484	24	f
sub-bh2044	26	m
sub-bi933	21	m
sub-bn968	24	f
sub-cc528	25	f
sub-cs928	19	f
sub-dt1017	25	f
sub-ee924	26	m
sub-fd967	30	f
sub-ff2134	26	f
sub-fp878	21	f
sub-hu2138	22	m
sub-id926	24	f
sub-kd918	19	m
sub-kt925	24	m
sub-ku966	19	m
sub-kz838	21	f
sub-lb2136	21	f
sub-lh2143	19	m
sub-ll2026	23	f
sub-nb2042	28	m
sub-nh935	19	m
sub-ns968	21	m
sub-pv536	19	f
sub-qb2027	24	m
sub-tc923	25	f
sub-tm943	19	f
sub-tq315	24	m
sub-tt415	21	f
sub-ug71	20	m
sub-us2142	20	m
