participant_id	age	sex	handedness
sub-B066632	14	F	n/a
sub-B076430	14	M	l
sub-B077530	12	M	n/a
sub-B085100	24	M	n/a
sub-B086640	47	M	n/a
sub-B086643	43	F	r
sub-B088833	22	F	r
sub-B099551	34	M	r
sub-B099665	15	M	r
sub-B433211	38	M	r
sub-B543211	26	M	n/a
sub-B544220	35	M	n/a
sub-B544311	16	F	r
sub-B544411	10	F	r
sub-B551100	15	M	n/a
sub-B554420	15	M	r
sub-B554422	11	F	n/a
sub-B644322	41	M	r
sub-B653100	37	F	r
sub-B654440	31	M	r
sub-B655532	10	M	r
sub-B665411	10	F	n/a
sub-B665521	34	F	a
sub-B666441	29	M	r
sub-B732110	16	F	r
sub-B741100	9	M	n/a
sub-B743111	12	F	r
sub-B743211	14	F	r
sub-B744300	13	M	r
sub-B754432	25	M	n/a
sub-B755443	11	F	r
sub-B763111	15	M	l
sub-B763310	37	F	r
sub-B764110	11	F	r
sub-B765321	23	M	n/a
sub-B766432	16	M	l
sub-B774110	23	F	r
sub-B777740	9	M	r
sub-B842220	22	M	r
sub-B853221	15	M	l
sub-B854432	10	F	r
sub-B855431	16	F	r
sub-B863210	32	M	n/a
sub-B865333	42	F	n/a
sub-B866633	23	F	n/a
sub-B874420	14	M	r
sub-B875532	23	F	n/a
sub-B876312	33	M	n/a
sub-B876322	10	F	r
sub-B876332	23	F	r
sub-B876555	23	F	r
sub-B877100	21	M	r
sub-B877532	52	M	r
sub-B877631	35	F	r
sub-B877665	11	F	n/a
sub-B883300	52	F	n/a
sub-B885100	8	M	r
sub-B885532	15	M	r
sub-B886531	13	F	r
sub-B887430	49	M	n/a
sub-B887431	23	F	r
sub-B887643	14	M	l
sub-B887652	12	M	r
sub-B887760	22	M	r
sub-B888431	10	M	r
sub-B888521	37	M	r
sub-B888544	24	F	r
sub-B888773	15	F	n/a
sub-B888853	15	M	r
sub-B942100	49	M	n/a
sub-B943310	26	M	n/a
sub-B944421	14	F	r
sub-B955111	22	F	r
sub-B955430	12	M	r
sub-B964211	16	M	r
sub-B964312	17	F	r
sub-B964321	29	M	r
sub-B964332	55	M	n/a
sub-B965330	13	F	r
sub-B966530	23	F	r
sub-B966642	12	F	r
sub-B972000	36	F	r
sub-B974321	8	F	r
sub-B974330	23	F	n/a
sub-B975220	31	M	n/a
sub-B975312	23	M	n/a
sub-B975321	27	M	n/a
sub-B975410	16	M	r
sub-B975411	38	M	n/a
sub-B976332	11	M	r
sub-B976521	14	M	n/a
sub-B976632	10	F	r
sub-B976643	15	M	r
sub-B977221	14	M	r
sub-B977321	17	M	n/a
sub-B977541	16	F	r
sub-B977630	19	F	r
sub-B977663	11	M	r
sub-B983310	30	F	r
sub-B984221	40	M	n/a
sub-B984442	22	M	n/a
sub-B985421	11	F	r
sub-B985542	31	M	n/a
sub-B986420	15	M	r
sub-B986432	24	F	r
sub-B986542	23	F	r
sub-B987431	34	M	r
sub-B987540	21	M	n/a
sub-B987610	15	F	n/a
sub-B987631	37	M	r
sub-B987640	14	F	r
sub-B987650	26	F	n/a
sub-B987652	11	M	n/a
sub-B988642	9	M	r
sub-B988654	10	F	r
sub-B988730	36	M	r
sub-B988733	21	F	r
sub-B988750	11	M	r
sub-B988775	33	M	r
sub-B993210	10	F	r
sub-B994420	8	F	n/a
sub-B995221	15	F	r
sub-B995443	30	F	r
sub-B996532	8	F	r
sub-B996552	10	M	n/a
sub-B996640	10	M	l
sub-B997521	15	M	n/a
sub-B997710	27	M	r
sub-B998322	16	M	r
sub-B998440	11	M	n/a
sub-B998644	14	M	n/a
sub-B998733	8	F	r
sub-B999840	12	F	n/a
sub-B999842	23	F	n/a
sub-B999941	23	M	n/a
