participant_id	age	sex	hand
sub-R1001P	48.0	F	R
sub-R1006P	20.0	F	R
sub-R1008J	55.0	F	R
sub-R1009W	20.0	M	L
sub-R1010J	30.0	F	A
sub-R1013E	36.0	F	R
sub-R1014D	47.0	F	R
sub-R1015J	54.0	F	L
sub-R1018P	47.0	M	L
sub-R1019J	34.0	F	R
sub-R1021D	38.0	M	R
sub-R1023J	32.0	M	R
sub-R1024E	36.0	F	R
sub-R1025P	19.0	F	R
sub-R1026D	24.0	F	R
sub-R1030J	23.0	M	L
sub-R1032D	19.0	F	R
sub-R1033D	31.0	F	R
sub-R1034D	29.0	F	R
sub-R1037D	47.0	M	R
sub-R1041M	34.0	M	R
sub-R1042M	28.0	F	L
sub-R1044J	58.0	M	R
sub-R1045E	51.0	M	R
sub-R1047D	39.0	F	R
sub-R1048E	21.0	M	R
sub-R1049J	52.0	F	R
sub-R1050M	20.0	M	R
sub-R1051J	24.0	F	R
sub-R1052E	19.0	F	R
sub-R1054J	23.0	M	R
sub-R1056M	34.0	M	A
sub-R1059J	44.0	F	R
sub-R1060M	36.0	F	R
sub-R1061T	21.0	M	R
sub-R1062J	23.0	F	R
sub-R1063C	23.0	M	R
sub-R1064E	56.0	M	R
sub-R1065J	34.0	F	R
sub-R1066P	39.0	M	R
sub-R1067P	45.0	F	R
sub-R1068J	39.0	F	A
sub-R1069M	26.0	M	R
sub-R1073J	60.0	M	R
sub-R1074M	24.0	M	R
sub-R1075J	50.0	M	R
sub-R1077T	47.0	F	R
sub-R1079E	21.0	M	R
sub-R1083J	49.0	F	R
sub-R1086M	20.0	M	L
sub-R1089P	36.0	M	L
sub-R1096E	34.0	F	R
sub-R1101T	26.0	F	L
sub-R1106M	26.0	M	R
sub-R1112M	29.0	F	R
sub-R1114C	31.0	F	A
sub-R1124J	40.0	F	R
sub-R1177M	23.0	F	R
